ledger_idx,ledger_ref,ledger_amount,ledger_date,ledger_counterparty,best_bank_idx,features,category,route_to,detected_ts
0,OPENSA_0001,-170655.72,2023-12-31 00:00:00,CTTP000002,194,"{'name_sim': 0.1633, 'ref_sim': 0.1818, 'amt_diff': 175655.72, 'date_diff_days': 19721, 'composite_score': 0.1553}",LOW_SCORE,AP_Team,2025-09-08T18:19:01.492183
2,OPENSA_0003,7546.74,2023-12-31 00:00:00,CTTP000005,113,"{'name_sim': 0.1176, 'ref_sim': 0.1818, 'amt_diff': 1158.74, 'date_diff_days': 19721, 'composite_score': 0.1771}",LOW_SCORE,AP_Team,2025-09-08T18:19:01.551298
3,OPENSA_0004,67712.7,2023-12-31 00:00:00,CTTP000005,438,"{'name_sim': 0.1176, 'ref_sim': 0.1818, 'amt_diff': 5278.3, 'date_diff_days': 19721, 'composite_score': 0.1809}",LOW_SCORE,AP_Team,2025-09-08T18:19:01.566844
4,OPENSA_0005,4302.0,2023-12-31 00:00:00,CTTP000005,342,"{'name_sim': 0.1176, 'ref_sim': 0.1818, 'amt_diff': 1202.0, 'date_diff_days': 19721, 'composite_score': 0.1708}",LOW_SCORE,AP_Team,2025-09-08T18:19:01.616722
5,OPENSA_0006,4320.0,2023-12-31 00:00:00,CTTP000005,909,"{'name_sim': 0.1176, 'ref_sim': 0.1818, 'amt_diff': 1320.0, 'date_diff_days': 19721, 'composite_score': 0.1695}",LOW_SCORE,AP_Team,2025-09-08T18:19:01.666716
6,OPENSA_0007,157827.6,2023-12-31 00:00:00,CTTP000005,670,"{'name_sim': 0.0656, 'ref_sim': 0.3077, 'amt_diff': 30827.6, 'date_diff_days': 19721, 'composite_score': 0.2082}",LOW_SCORE,AP_Team,2025-09-08T18:19:01.691504
7,OPENSA_0008,65275.2,2023-12-31 00:00:00,CTTP000005,376,"{'name_sim': 0.0606, 'ref_sim': 0.1667, 'amt_diff': 369.15, 'date_diff_days': 19721, 'composite_score': 0.152}",LOW_SCORE,AP_Team,2025-09-08T18:19:01.710032
8,OPENSA_0009,10557.0,2023-12-31 00:00:00,CTTP000005,913,"{'name_sim': 0.1176, 'ref_sim': 0.1667, 'amt_diff': 1723.0, 'date_diff_days': 19721, 'composite_score': 0.1698}",LOW_SCORE,AP_Team,2025-09-08T18:19:01.750037
9,OPENSA_0010,17413.2,2023-12-31 00:00:00,CTTP000005,1161,"{'name_sim': 0.0667, 'ref_sim': 0.3333, 'amt_diff': 151.44, 'date_diff_days': 19721, 'composite_score': 0.2296}",LOW_SCORE,AP_Team,2025-09-08T18:19:01.774696
10,OPENSA_0011,58698.0,2023-12-31 00:00:00,CTTP000005,961,"{'name_sim': 0.0364, 'ref_sim': 0.3333, 'amt_diff': 6440.0, 'date_diff_days': 19721, 'composite_score': 0.2109}",LOW_SCORE,AP_Team,2025-09-08T18:19:01.790697
11,OPENSA_0012,42949.8,2023-12-31 00:00:00,CTTP000005,1117,"{'name_sim': 0.0625, 'ref_sim': 0.3333, 'amt_diff': 6717.8, 'date_diff_days': 19721, 'composite_score': 0.2203}",LOW_SCORE,AP_Team,2025-09-08T18:19:01.815918
12,OPENSA_0013,49532.4,2023-12-31 00:00:00,CTTP000005,379,"{'name_sim': 0.0625, 'ref_sim': 0.3333, 'amt_diff': 7168.24, 'date_diff_days': 19721, 'composite_score': 0.2209}",LOW_SCORE,AP_Team,2025-09-08T18:19:01.833135
13,OPENSA_0014,8434.8,2023-12-31 00:00:00,CTTP000005,1186,"{'name_sim': 0.0909, 'ref_sim': 0.3333, 'amt_diff': 3398.2, 'date_diff_days': 19721, 'composite_score': 0.2208}",LOW_SCORE,AP_Team,2025-09-08T18:19:01.883140
14,OPENSA_0015,-6642.9,2023-12-31 00:00:00,CTTP000005,965,"{'name_sim': 0.1091, 'ref_sim': 0.3333, 'amt_diff': 12458.9, 'date_diff_days': 19721, 'composite_score': 0.1991}",LOW_SCORE,AP_Team,2025-09-08T18:19:01.933211
15,OPENSA_0016,16896.0,2023-12-31 00:00:00,CTTP000005,1167,"{'name_sim': 0.0364, 'ref_sim': 0.3333, 'amt_diff': 3146.0, 'date_diff_days': 19721, 'composite_score': 0.2071}",LOW_SCORE,AP_Team,2025-09-08T18:19:01.965195
16,OPENSA_0017,9851.64,2023-12-31 00:00:00,CTTP000004,800,"{'name_sim': 0.0909, 'ref_sim': 0.3333, 'amt_diff': 1904.64, 'date_diff_days': 19721, 'composite_score': 0.2312}",LOW_SCORE,AP_Team,2025-09-08T18:19:02.032848
17,OPENSA_0018,7400.54,2023-12-31 00:00:00,CTTP000004,801,"{'name_sim': 0.0909, 'ref_sim': 0.3333, 'amt_diff': 546.46, 'date_diff_days': 19721, 'composite_score': 0.2372}",LOW_SCORE,AP_Team,2025-09-08T18:19:02.100764
18,OPENSA_0019,12911.07,2023-12-31 00:00:00,CTTP000004,141,"{'name_sim': 0.1053, 'ref_sim': 0.1818, 'amt_diff': 771.07, 'date_diff_days': 19721, 'composite_score': 0.1762}",LOW_SCORE,AP_Team,2025-09-08T18:19:02.141414
19,OPENSA_0020,6483.48,2023-12-31 00:00:00,CTTP000004,1192,"{'name_sim': 0.0909, 'ref_sim': 0.3333, 'amt_diff': 3970.48, 'date_diff_days': 19721, 'composite_score': 0.2103}",LOW_SCORE,AP_Team,2025-09-08T18:19:02.191503
20,OPENSA_0021,6096.76,2023-12-31 00:00:00,CTTP000004,804,"{'name_sim': 0.0909, 'ref_sim': 0.3333, 'amt_diff': 1850.24, 'date_diff_days': 19721, 'composite_score': 0.2257}",LOW_SCORE,AP_Team,2025-09-08T18:19:02.232174
21,OPENSA_0022,27954.0,2023-12-31 00:00:00,CTTP000006,1194,"{'name_sim': 0.1176, 'ref_sim': 0.3333, 'amt_diff': 5294.0, 'date_diff_days': 19721, 'composite_score': 0.2435}",LOW_SCORE,AP_Team,2025-09-08T18:19:02.249437
22,OPENSA_0023,36251.7,2023-12-31 00:00:00,CTTP000006,235,"{'name_sim': 0.0976, 'ref_sim': 0.1818, 'amt_diff': 3748.3, 'date_diff_days': 19721, 'composite_score': 0.1706}",LOW_SCORE,AP_Team,2025-09-08T18:19:02.265551
23,OPENSA_0024,11268.0,2023-12-31 00:00:00,CTTP000006,807,"{'name_sim': 0.0909, 'ref_sim': 0.3333, 'amt_diff': 3321.0, 'date_diff_days': 19721, 'composite_score': 0.2262}",LOW_SCORE,AP_Team,2025-09-08T18:19:02.307975
24,OPENSA_0025,50134.5,2023-12-31 00:00:00,CTTP000006,668,"{'name_sim': 0.0345, 'ref_sim': 0.3077, 'amt_diff': 8135.5, 'date_diff_days': 19721, 'composite_score': 0.1959}",LOW_SCORE,AP_Team,2025-09-08T18:19:02.324636
25,OPENSA_0026,18595.2,2023-12-31 00:00:00,CTTP000006,308,"{'name_sim': 0.1176, 'ref_sim': 0.1818, 'amt_diff': 1304.8, 'date_diff_days': 19721, 'composite_score': 0.1813}",LOW_SCORE,AP_Team,2025-09-08T18:19:02.357921
26,OPENSA_0027,11461.5,2023-12-31 00:00:00,CTTP000006,810,"{'name_sim': 0.0909, 'ref_sim': 0.3333, 'amt_diff': 3514.5, 'date_diff_days': 19721, 'composite_score': 0.2256}",LOW_SCORE,AP_Team,2025-09-08T18:19:02.390889
27,OPENSA_0028,95235.98,2023-12-31 00:00:00,CTTP000006,374,"{'name_sim': 0.1194, 'ref_sim': 0.1818, 'amt_diff': 14787.78, 'date_diff_days': 19721, 'composite_score': 0.1778}",LOW_SCORE,AP_Team,2025-09-08T18:19:02.407880
28,OPENSA_0029,112500.0,2023-12-31 00:00:00,CTTP000006,912,"{'name_sim': 0.1176, 'ref_sim': 0.1818, 'amt_diff': 11731.0, 'date_diff_days': 19721, 'composite_score': 0.1795}",LOW_SCORE,AP_Team,2025-09-08T18:19:02.424501
29,OPENSA_0030,180000.0,2023-12-31 00:00:00,CTTP000006,1053,"{'name_sim': 0.0678, 'ref_sim': 0.3077, 'amt_diff': 24186.0, 'date_diff_days': 19721, 'composite_score': 0.2123}",LOW_SCORE,AP_Team,2025-09-08T18:19:02.448638
30,OPENSA_0031,18312.1,2023-12-31 00:00:00,CTTP000006,284,"{'name_sim': 0.1765, 'ref_sim': 0.1667, 'amt_diff': 1687.9, 'date_diff_days': 19721, 'composite_score': 0.1998}",LOW_SCORE,AP_Team,2025-09-08T18:19:02.497896
31,OPENSA_0032,18654.8,2023-12-31 00:00:00,CTTP000006,284,"{'name_sim': 0.1765, 'ref_sim': 0.1667, 'amt_diff': 1345.2, 'date_diff_days': 19721, 'composite_score': 0.2008}",LOW_SCORE,AP_Team,2025-09-08T18:19:02.524841
32,OPENSA_0033,21825.0,2023-12-31 00:00:00,CTTP000006,284,"{'name_sim': 0.1765, 'ref_sim': 0.1667, 'amt_diff': 1825.0, 'date_diff_days': 19721, 'composite_score': 0.2002}",LOW_SCORE,AP_Team,2025-09-08T18:19:02.548843
33,OPENSA_0034,32881.5,2023-12-31 00:00:00,CTTP000006,118,"{'name_sim': 0.1667, 'ref_sim': 0.1818, 'amt_diff': 2118.5, 'date_diff_days': 19721, 'composite_score': 0.2036}",LOW_SCORE,AP_Team,2025-09-08T18:19:02.582410
34,OPENSA_0035,8358.99,2023-12-31 00:00:00,CTTP000007,965,"{'name_sim': 0.1455, 'ref_sim': 0.1667, 'amt_diff': 2542.99, 'date_diff_days': 19721, 'composite_score': 0.1752}",LOW_SCORE,AP_Team,2025-09-08T18:19:02.624208
