ledger_idx,ledger_ref,ledger_amount,ledger_date,ledger_counterparty,best_bank_idx,features,category,route_to,detected_ts
1,OPENSA_0002,607559.4,2023-12-31 00:00:00,CTTP000002,665,"{'name_sim': 0.1, 'ref_sim': 0.3077, 'amt_diff': 86859.4, 'date_diff_days': 19721, 'composite_score': 0.2263}",LOW_SCORE,Finance_Senior,2025-09-08T18:19:01.508251
90,OPENSA_0091,890693.8,2023-12-31 00:00:00,CTTP000016,289,"{'name_sim': 0.1132, 'ref_sim': 0.1818, 'amt_diff': 76322.8, 'date_diff_days': 19721, 'composite_score': 0.1785}",LOW_SCORE,Finance_Senior,2025-09-08T18:19:04.621942
94,OPENSA_0095,1067156.55,2023-12-31 00:00:00,CTTP000019,213,"{'name_sim': 0.1622, 'ref_sim': 0.1818, 'amt_diff': 129793.45, 'date_diff_days': 19721, 'composite_score': 0.1987}",LOW_SCORE,Finance_Senior,2025-09-08T18:19:04.788296
96,OPENSA_0097,1067380.89,2023-12-31 00:00:00,CTTP000019,1020,"{'name_sim': 0.069, 'ref_sim': 0.1667, 'amt_diff': 90410.89, 'date_diff_days': 19721, 'composite_score': 0.1518}",LOW_SCORE,Finance_Senior,2025-09-08T18:19:04.864868
97,OPENSA_0098,945307.21,2023-12-31 00:00:00,CTTP000019,15,"{'name_sim': 0.0938, 'ref_sim': 0.1818, 'amt_diff': 26884.21, 'date_diff_days': 19721, 'composite_score': 0.1726}",LOW_SCORE,Finance_Senior,2025-09-08T18:19:04.880184
98,OPENSA_0099,995360.04,2023-12-31 00:00:00,CTTP000019,1020,"{'name_sim': 0.069, 'ref_sim': 0.1667, 'amt_diff': 18390.04, 'date_diff_days': 19721, 'composite_score': 0.1551}",LOW_SCORE,Finance_Senior,2025-09-08T18:19:04.896187
117,OPENSA_0118,895180.07,2023-12-31 00:00:00,CTTP000023,1066,"{'name_sim': 0.0417, 'ref_sim': 0.3077, 'amt_diff': 75768.93, 'date_diff_days': 19721, 'composite_score': 0.203}",LOW_SCORE,Finance_Senior,2025-09-08T18:19:05.528128
118,OPENSA_0119,912787.75,2023-12-31 00:00:00,CTTP000023,1066,"{'name_sim': 0.0417, 'ref_sim': 0.3077, 'amt_diff': 58161.25, 'date_diff_days': 19721, 'composite_score': 0.204}",LOW_SCORE,Finance_Senior,2025-09-08T18:19:05.544155
119,OPENSA_0120,794047.14,2023-12-31 00:00:00,CTTP000023,289,"{'name_sim': 0.1132, 'ref_sim': 0.1818, 'amt_diff': 20323.86, 'date_diff_days': 19721, 'composite_score': 0.1815}",LOW_SCORE,Finance_Senior,2025-09-08T18:19:05.554256
148,OPENSA_0149,1276376.64,2023-12-31 00:00:00,CTTP000027,1064,"{'name_sim': 0.0417, 'ref_sim': 0.3077, 'amt_diff': 53275.64, 'date_diff_days': 19721, 'composite_score': 0.2051}",LOW_SCORE,Finance_Senior,2025-09-08T18:19:06.410600
